iter	Passed	Remaining
0	0	83
1	2	98
2	3	97
3	3	93
4	4	89
5	5	86
6	6	83
7	7	81
8	7	79
9	8	80
10	9	79
11	10	77
12	11	75
13	12	73
14	12	72
15	13	71
16	14	69
17	14	68
18	15	67
19	16	66
20	18	67
21	18	66
22	19	65
23	20	64
24	20	62
25	21	61
26	22	60
27	23	59
28	24	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	48
41	33	46
42	34	45
43	35	44
44	36	44
45	36	42
46	37	41
47	38	41
48	39	40
49	39	39
50	40	38
51	40	37
52	41	37
53	42	36
54	43	35
55	44	34
56	45	34
57	46	33
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	70	7
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
